,0,1,2
0,LilyPichu I hate that youre not doing well  Depression sucks I cant do much but Ill pray for you  Thank you for being yourself,😑,0.0
1,kratikaonly hate you,😡  😑,-5.0
2,bien_alcaraz I HATE YOU FOREVER,😑,0.0
3,Im not one to hate others due to their beliefs,😑,0.0
4,RT Sumaya_Mohamoud If girls like you ever paid attention in school maybe youd know the difference between a country and a religion https,😑,0.0
5,RT PatamaPost i hate that feeling when you see something and your heart literally sinks but you have to sit there and pretend you dont,😑,0.0
13,TAKE A BOW httpstcogtKqf0LRiE,😑,0.0
16,so much hate everywhere some people might not be able to separate correctly https,😑,0.0
17,i hate this httpstcoAIWLcEq6bI,😑,0.0
18,RT ItsherSp_2 Only shots Im taking is from the bar I hate a indirect ass bitch,😑,0.0
19,RT sialusa Trump bounces into the lead CNNPolitics httpstcoqv78FV7uri Bernie Voters HATE Hillary  New CNN,😑,0.0
20,RT uniquefayy i hate spending my own money,😑,0.0
21,Hate when old men look at me like Im a piece of meat,😠  😑,-4.0
22,RT TreyToothman These hoes showin fake love when I prefer the hate,😑,0.0
23,RT beth_share Hate people who only talk to you when they want to know something and be nosey lol nah,😑,0.0
24,housecor for real why did you hate them Hate is a very strong word for dislike,😑,0.0
25,im going to sleep now i love bangtan so much and i hope theyre always healthy and are always smiling i hate being soft fucjcnf ok bye,😑,0.0
26,RT dije_emm Bcz of English  httpstcoZ3ztglm4M3,😂 😑,4.0
27,RT docrocktex26 The preservation of hard fought civil rights for Black Americans and the struggle for equality demands your vote even if,😑,0.0
28,3 As much as you hate him Tom Brady is the best QB in History,😑,0.0
29,I hate that I started affiliating with some mfs,😑,0.0
33,ColorsTV rajabetasharad httpstco,😑,0.0
34,RT Tamantha_5 Shes holding up a sign that says no racism no hate and looksmh httpstcoHtNzs67Oxn,😑,0.0
35,My time is precious and I hate it to be wasted,😑,0.0
36,Queen_PSH that is why I cant hate her sometimes,😑,0.0
37,RT serenax3p i hate the lack of motivation i have for life,😑,0.0
38,Dam I hate it had to be u boo lol,😑,0.0
39,RT Bieballinx I hate waiting MTVHottest Justin Bieber httpstcodL3w1lY87x,😑,0.0
40,Resentment can make you hate a person,😑,0.0
41,RT raptuga1 Ruivo  I hate u I love u httpstcozQC7DH8q3M,😑,0.0
42,RT jonloomer I HATE quotes like this,😑,0.0
43,RT HugotDre I hate how everything I want costs money,😑,0.0
44,I hate SI withdrawal worstdayoftheyear,😑,0.0
45,I hate waiting a whole week for the next episode of Power,😤 😑,5.0
46,RT KTHopkins Thank you David  really kind MailOnline httpstcojmzjQ01lje,😑,0.0
47,gawd i hate flirts girls most especially  httpstcoRRdDEh1uOp,😤 😑,5.0
50,spark wipes tears i hate this fukci,😑,0.0
51,RT Iifepost I hate when ppl cant understand I have strict parents amp I have rules amp I cant just go out whenever I want or do whatever I,😑,0.0
52,When youre bonding with your pet and they hate you,😑,0.0
53,MTVHottest Justin Bieber httpstcow4u2SCvRCR,😑,0.0
54,RT zrmln This why I hate bad subtitles Since when Naruto became Muslim httpstco5efQFO5KLA,😑,0.0
55,RT GrindOfAthletes I hate going in the Nike store because I want to buy everything,😑,0.0
56,RT DaddyCay_ I hate when adults cuss in front of me and then apologize  Like bitch little did you fucking know,😂 😑,4.0
57,Hate when people chew their gum mad fucking loud,😑,0.0
58,RT BlameLarryxx TommoFondlinson staglaurent Daggeryrose I wonder why people even come into larry accounts if they hate it so much,😒 😑,-2.0
59,We must fight hate with love httpstcojY9C4xgzCI,😑,0.0
60,RT rosielavender04 All men kill the thing they hate too unless of course it kills them first   ALDUBSaveTheLolas,😑,0.0
