id,0,1,2
0,RT bestshawnsvocal I LOVE HEARING EVERYONE SING ALONG AT THE TOP OF THEIR LUNGS THIS IS INSANE httpstcohiygqAiDWp,😑,0
2,Cr to stylinsonphones httpstcoAtdZ,😑,0
3,RT nbcagt Love you OfficialMelB AGT httpstco1L4Q1Aj2oW,😑,0
4,Great crowd tonight Lots of energy I love my job  drinking water at The Urban Cowboy Saloon httpstcorHqXUlaBvF,😑,0
5,RT IBReynolds Dont waste your time trying to get anyone to love you,😑,0
6,RT oddeves seungcheol is the biggest instigator for this verkwan ship I love httpstcovBxSo92c8v,😑,0
7,Louis_Tomlinson im trusting you here dont let me down you promised and oh i love you lots  httpstcoteHf4PmY3W,😑,0
8,I love calum,😑,0
9,RT selenagomez I asked all my friends and family to make a donation for my birthday If you want to would love you for to join  https,😑,0
10,Kendallglows me too love u,😣 😑 😟,-6
14, ALDUBSuperMA httpstcogLqNljBRAB,😑,0
15,love the fact that almost all my friends know Im the one thatll be up to answer them at 3 am,😑,0
16,RT 601Trip iolakanapaige All Love Fam,😑,0
17,RT madeintyo A lot of love in NC,😑,0
19, Andrew Murray LoveWins,😑,0
20,Sex Shy Loves ass fucked hard by thick hard cock   httpstcof0Ne78bKFa,😑,0
21,RT girlposts when hes a heartless asshole but he ends up falling in love with u httpstcoEhwf8u6k3i,😑,0
22,yall dont know how bad it feels to know the person you love tell you they dont want you anymore,😑,0
24,Hums money cant buy you love,😑,0
25,zeejfigs I love you,😑,0
26,lizhem65 Omg Im here in Argentina 4 am and I cant sleep because I see your tweets its amazing I love you,😑,0
27,Spice weave dem a depress me these days Love her regardless,😑,0
28,RT yixingseouls I just love when two of them are whispering to each other httpstcof0Lj5aSeeP,😑,0
31,Not equally yeah Mom has favourites,😑,0
35,TY RegalFilmsLoveTOMIHOS httpstcof8R,😑,0
36,6YearsOfOneDirection 6yearsof1D  I CANT EVEN 6 YEARS I LOVE YOU GUYS SO MUCH AND I MISS YOU GUYS AND I NEED YOU GUYS TO COME BACK,😭 😑,-4
37,RT ChildFund Do you love game night So does Sakshi and her family in India httpstcoszmeM789cU,😑,0
38,Love ranveersingh to the core  httpstcodIvO89DNIs,😑 😚,3
39,RT hickeyxo HAHHAA I love u I wish u were a hot ass boy why cant u be  but have ur personality   httpstcoVyMtTOADJD,😑,0
40,RT girlydose i love this slay httpstcoGohc8g7nB4,😑,0
41,He cant love you when your with me,😑,0
42,ShannonJohal thanks my love miss youX,😘 😑,4
43,IBexWeBex MTVScream MTV BIG FAN love the show,😑,0
44,RT TBursoni freckleface007 OutlandishLove Welcome  Love BeachSam too,😑,0
45,Bryant_Alejo Happy birthday you big bitch Love you lil dude  httpstcouAssQzD9LL,😑,0
48,MTVHottest Fifth Harmony,😑,0
49,RT ZerViolence2030 WhatIReallyReallyWant is a weekend of play amp love for everygirl amp everychild in the world Watch httpstco7,😑,0
50,RT wrestlingbucks Congrats to all the National Champs and AllAmericans in Fargo The Bucks are paying attention We love those who Dream,😑,0
51,RT TifaniLouise28 aKc844 Welcome love bug,😑,0
52,RT ZlAMSBEFOUR IM SO EMOTIONAL 1D ARE THE BEST THING TO EVER HAPPEN TO ME IDGAF ABOUT ANYONES OPINIONS I FUCKIN LOVE 1D httpstco,😑,0
53,LA would love appreciate you httpstcob7nwhtcBuM,😑,0
54,RT CatchMyCuisine Thread of foods I love,😑,0
