,index,0,1,2
0,0,RT bestshawnsvocal I LOVE HEARING EVERYONE SING ALONG AT THE TOP OF THEIR LUNGS THIS IS INSANE httpstcohiygqAiDWp,😑,0.0
1,2,Cr to stylinsonphones httpstcoAtdZ,😑,0.0
2,3,RT nbcagt Love you OfficialMelB AGT httpstco1L4Q1Aj2oW,😑,0.0
3,4,Great crowd tonight Lots of energy I love my job  drinking water at The Urban Cowboy Saloon httpstcorHqXUlaBvF,😑,0.0
4,5,RT IBReynolds Dont waste your time trying to get anyone to love you,😑,0.0
5,6,RT oddeves seungcheol is the biggest instigator for this verkwan ship I love httpstcovBxSo92c8v,😑,0.0
6,7,Louis_Tomlinson im trusting you here dont let me down you promised and oh i love you lots  httpstcoteHf4PmY3W,😑,0.0
7,8,I love calum,😑,0.0
8,9,RT selenagomez I asked all my friends and family to make a donation for my birthday If you want to would love you for to join  https,😑,0.0
10,14, ALDUBSuperMA httpstcogLqNljBRAB,😑,0.0
11,15,love the fact that almost all my friends know Im the one thatll be up to answer them at 3 am,😑,0.0
12,16,RT 601Trip iolakanapaige All Love Fam,😑,0.0
13,17,RT madeintyo A lot of love in NC,😑,0.0
14,19, Andrew Murray LoveWins,😑,0.0
15,20,Sex Shy Loves ass fucked hard by thick hard cock   httpstcof0Ne78bKFa,😑,0.0
16,21,RT girlposts when hes a heartless asshole but he ends up falling in love with u httpstcoEhwf8u6k3i,😑,0.0
17,22,yall dont know how bad it feels to know the person you love tell you they dont want you anymore,😑,0.0
18,24,Hums money cant buy you love,😑,0.0
19,25,zeejfigs I love you,😑,0.0
20,26,lizhem65 Omg Im here in Argentina 4 am and I cant sleep because I see your tweets its amazing I love you,😑,0.0
21,27,Spice weave dem a depress me these days Love her regardless,😑,0.0
22,28,RT yixingseouls I just love when two of them are whispering to each other httpstcof0Lj5aSeeP,😑,0.0
23,31,Not equally yeah Mom has favourites,😑,0.0
24,35,TY RegalFilmsLoveTOMIHOS httpstcof8R,😑,0.0
26,37,RT ChildFund Do you love game night So does Sakshi and her family in India httpstcoszmeM789cU,😑,0.0
28,39,RT hickeyxo HAHHAA I love u I wish u were a hot ass boy why cant u be  but have ur personality   httpstcoVyMtTOADJD,😑,0.0
29,40,RT girlydose i love this slay httpstcoGohc8g7nB4,😑,0.0
30,41,He cant love you when your with me,😑,0.0
32,43,IBexWeBex MTVScream MTV BIG FAN love the show,😑,0.0
33,44,RT TBursoni freckleface007 OutlandishLove Welcome  Love BeachSam too,😑,0.0
34,45,Bryant_Alejo Happy birthday you big bitch Love you lil dude  httpstcouAssQzD9LL,😑,0.0
35,48,MTVHottest Fifth Harmony,😑,0.0
36,49,RT ZerViolence2030 WhatIReallyReallyWant is a weekend of play amp love for everygirl amp everychild in the world Watch httpstco7,😑,0.0
37,50,RT wrestlingbucks Congrats to all the National Champs and AllAmericans in Fargo The Bucks are paying attention We love those who Dream,😑,0.0
38,51,RT TifaniLouise28 aKc844 Welcome love bug,😑,0.0
39,52,RT ZlAMSBEFOUR IM SO EMOTIONAL 1D ARE THE BEST THING TO EVER HAPPEN TO ME IDGAF ABOUT ANYONES OPINIONS I FUCKIN LOVE 1D httpstco,😑,0.0
40,53,LA would love appreciate you httpstcob7nwhtcBuM,😑,0.0
41,54,RT CatchMyCuisine Thread of foods I love,😑,0.0
42,55,RT PrinceWattzzz Girls who love wings stay winning,😑,0.0
43,56,Bradley_King_ reason 8391082 why I love you,😑,0.0
44,57,RT Real_Liam_Payne Thanks for all the memories boys I love you all,😑,0.0
45,58,RT itssixwordstory Falling in love is easy staying in love is hard letting go is harder and moving on is the hardest,😑,0.0
46,59,RT ChristinaMilian Great album  Great artist  Go TayTay httpstcozwq0RRE5bm,😑,0.0
49,63,oneforyourfire and i REALLY love that interpretation of their relationship ksoo is endeared by byun and like w yeol isnt afraid to be,😑,0.0
50,64,RT MORVTACCITUA CELEBRITIES LOVE CELEBRITIES  httpstcoYdbpi1j0fP,😑,0.0
52,66,AndrewFromVA love those names Andy,😑,0.0
54,68,RT DAM0NGILBERT idk what yall are talking about i love the new tvd poster httpstcoWqucuha1Ev,😑,0.0
55,69,RT abedelrey If black people left America I love this httpstco5ACLP7Irfn,😑,0.0
56,71,I love him so much httpstcoT5ErD0tWJd,😑,0.0
57,72,DingUsButler Im not a big ice cream eater but I do love to nap so this is gonna be hard,😑,0.0
58,73,RT heyhalpert Goodnight I love the people I love,😑,0.0
59,74,amnezeeac I love you eternally but I kind of hate you right now respect,😑,0.0
60,76,bitch I just fucking had a heart attack httpstcoASWoERJ6Qi,😑,0.0
61,77,mryamalowais love uuu,😑,0.0
63,85,httpstcoSjM,😑,0.0
64,86,RT selenagomez Did this on my birthday coming soon Thank you for all the love I love you guys God bless httpstco4Pb5usx2Pk,😑,0.0
65,87,RT anabellee27 15 do I have your love am I still enough httpstcofBpRLOizWB,😑,0.0
66,88,RT ChinaDavis7 Love isnt taken seriously When I love I love hard and people take it for granted,😑,0.0
68,90,christina_dun MelanieLBBH PanoramaNYC Refinery29 is there any song not yours you would love to perform,😑,0.0
70,92,RT brightblonde101 Pt2 happy birthday to my babe I hope you have a great day Youll be getting your presents soon love you butt http,😑,0.0
72,96,The fact that the people you love can make you hate life at times,😑,0.0
73,97,julieemari10 I love you too bby,😑,0.0
74,99,NcixTechTips I love netlinked daily IntelRigChallenge,😑,0.0
75,100,RagaviRavi_12 _avantika_m ill always love tika,😑,0.0
78,103,RT BobOngQuotes Dont lose yourself trying to love someone,😑,0.0
79,104,RT _jDes Love this httpstcoQlbTCbt9yQ,😑,0.0
81,112,Samanthaprabhu2            i love u samantha14amp,😑,0.0
82,113,RT Joy_2thew0rld I dont want to fall in love if you dont want to try,😑,0.0
83,114,ARTIFICIAL LOVE NOW FAV,😑,0.0
84,115,RT nixki_m mvsonr love you pot head,😑,0.0
85,116,Please love me back,😑,0.0
86,117,And all I wanna do is love you but Im the only one to blame,😑,0.0
87,121,Germanys YouAintNoMuslimBruv moment I LOVE it,😑,0.0
