id	time	sentiment	tweet
2.64183816548131E+017	15140428	positive	Gas by my house hit $3.39!!!! I'm going to Chapel Hill on Sat. :)
2.63405084770173E+017	591166521	negative	Theo Walcott is still shit, watch Rafa and Johnny deal with him on Saturday.
2.62163168678248E+017	35266263	negative	its not that I'm a GSP fan, i just hate Nick Diaz. can't wait for february.
2.64249301910311E+017	18516728	negative	Iranian general says Israel's Iron Dome can't deal with their missiles (keep talking like that and we may end up finding out)
2.64105751826538E+017	147088367	positive	with J Davlar 11th. Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.
2.64094586689954E+017	332474633	negative	Talking about ACT's &amp;&amp; SAT's, deciding where I want to go to college, applying to colleges and everything about college stresses me out.
2.12392538055778E+017	274996324	neutral	"Why is ""Happy Valentines Day"" trending? It's on the 14th of February not 12th of June smh.."
2.54941790757601E+017	557103111	negative	They may have a SuperBowl in Dallas, but Dallas ain't winning a SuperBowl. Not with that quarterback and owner. @S4NYC @RasmussenPoll
2.64169034155696E+017	382403760	neutral	Im bringing the monster load of candy tomorrow, I just hope it doesn't get all squiched
2.63192091700654E+017	344222239	neutral	Apple software, retail chiefs out in overhaul: SAN FRANCISCO Apple Inc CEO Tim Cook on Monday replaced the heads... http://t.co/X49ZEOsG
2.63398998675694E+017	812957996	positive	@oluoch @victor_otti @kunjand I just watched it! Sridevi's comeback.... U remember her from the 90s?? Sun mornings on NTA ;)
2.60200142420992E+017	332530284	neutral	#Livewire Nadal confirmed for Mexican Open in February: Rafael Nadal is set to play at the Me... http://t.co/zgUXpcnC #LiveWireAthletics
2.64087629237203E+017	61903760	positive	@MsSheLahY I didnt want to just pop up... but yep we have chapel hill next wednesday you should come.. and shes great ill tell her you asked
2.5069263633005E+017	29023839	neutral	@Alyoup005 @addicted2haley hmmmm  November is an odd release date if true but if it becomes big enough maybe she could sing it at Grammys
2.63304719471088E+017	564843841	neutral	#Iran US delisting MKO from global terrorists list in line with Iran campaign: Tehran, Oct 30, IRNA -- Secretary... http://t.co/9wWvxEbf
2.63956867787674E+017	183985016	positive	Good Morning Becky ! Thursday is going to be Fantastic ! @SwedenG @DJ4JG @Grdina @Paverlayer @FSBull @RevkahJC @DicksTrash @borderfox116
2.63975113404342E+017	616166780	neutral	Expect light-moderate rains over E. Visayas; Cebu, Bohol, Samar &amp; Leyte have 30-70% chance of rains tonight! Expect fair weather tomorrow!:)
2.57343699460174E+017	10115042	positive	One ticket left for the @49ers game tomorrow!  Don't miss the rematch of the NFC Championship game against the NY Giants!  Hit me up!
2.64125591337464E+017	348691527	negative	AFC away fans on Saturday. All this stuff about the 'she said no' chant. It's bollocks. When he has the ball, just turn your back on him.
2.64259830590603E+017	183011479	negative	Why is it so hard to find the @TVGuideMagazine these days? Went to 3 stores for the Castle cover issue. NONE. Will search again tomorrow...
2.57239661976625E+017	64642600	neutral	Game 1 of the NLCS and a rematch of the NFC Championship game tomorrow. SF's gonna be cuuuuhraaaaaaaazeeeee
2.64223934403211E+017	117204603	neutral	@TrevorJavier the heat game may cost alot more...and plus I would rather see Austin Rivers play
2.64041764460036E+017	198706982	positive	Never start working on your dreams and goals tomorrow......tomorrow never comes....if it means anything to U, ACT NOW! #getafterit
2.64102295392883E+017	43577828	positive	@TheFFAddict I had Vick and Flacco, needed an upgrade.  Vick may get benched, Jennings a back up again soon. I thought it was a win for me.
2.64173636141851E+017	827129677	positive	@lisahochstein KEY LARGO, FL!!! Yay just ur neighbor Lisa a sip n a hop away :) always watching #RHOM Thur's!!
2.64071572925604E+017	43167117	positive	Looks like Andy the Android may have had a little too much fun yesterday. http://t.co/7ZDEfzEC
2.62115068320285E+017	306647135	positive	@APGPhoto oooh nice .. Tis tempting to go up the lakes with my Nikon ...  Hmmmm I may do that ..
2.64239636799431E+017	864992245	neutral	BLACK FRIDAY Huge Saving Aerial View of a City, Paris Las Vegas, the Las Vegas Strip, Las Vegas,... http://t.co/DCTgeSED
2.64250109833925E+017	808985521	positive	YES we all know INDIO vs CV is tomorrow the BELL GAME. Its enough.!!
2.57951107530252E+017	100101797	negative	@MelmurMel @PBandJenelley_1 @vl_delp_ham_ Jenelle lies,1st she said she was alone &amp;the hosp.now she's saying how weird it was for Keiffer's
2.63502599699956E+017	138301329	negative	@MyBeautyisBrown LMFAO his big ass get on my nerves, you going to class tomorrow?
2.36665189502681E+017	551910244	neutral	Mohamed Morsi, Egypt's Muslim Brotherhood president, instructed the Supreme Council of the Armed Forces Thursday... http://t.co/NnBeUvSt
2.62384414623936E+017	17091853	neutral	C'mon Avila! You just got tagged out by a guy who looks like the kid Bill Murray was researching in The Royal Tenenbaums! #Tigers
2.63936581734384E+017	108594490	negative	@thehuwdavies you think the Boro will beat Swansea? I'm not so sure, December/January is when we implode
2.49228128302551E+017	160639448	neutral	At the first Grammy Awards, held on 4 May 1959, Domenico Modugno beat out Frank Sinatra and Peggy Lee for the Record of the Year,with Volare
2.63346444772184E+017	566521127	positive	@JennetteMcHevan I have studied all day but tomorrow I'm going out with friends! :D Omg Jennette did?!!!! I'm gonna look! &lt;3
